music_id;genre_id
1;9
1;38
2;9
3;9
4;9
5;3
5;7
6;9
6;5
7;3
8;13
9;9
10;3
10;9
11;15
12;17
12;21
13;3
14;1
14;3
15;1
16;1
17;2
18;3
18;9
19;4
19;39
20;5
20;20
21;13
22;13
23;13
24;7
24;3
25;3
26;3
26;9
27;5
28;5
29;5
30;9
31;9
32;3
32;9
33;10
33;21
34;11
34;3
35;7
36;7
36;20
37;1
38;1
39;1
40;1
41;2
42;25
42;3
43;13
44;2
45;9
46;9
47;9
48;3
49;15
50;9
51;9
52;9
52;7
53;1
54;1
55;16
55;23
56;9
57;5
57;9
58;9
59;3
60;17
60;37
61;9
61;33
62;2
62;29
63;18
64;9
64;3
64;33
65;3
66;3
66;9
67;10
67;9
67;3
68;19
68;3
69;2
69;40
70;23
70;3
70;9
71;23
71;7
71;21
72;13
73;3
74;3
75;22
76;10
76;21
77;7
77;23
78;7
78;24
78;9
79;9
80;26
80;3
80;9
81;27
81;25
82;7
82;3
82;9
83;3
83;9
84;28
84;3
85;23
85;3
85;9
86;3
86;21
87;2
88;9
88;24
89;11
89;3
90;2
90;22
91;6
92;7
92;9
92;1
93;31
93;5
93;9
94;31
94;5
94;9
95;33
96;3
96;9
96;34
97;33
97;3
98;9
98;3
98;30
99;9
100;33
100;3
101;6
